member_id,phrase,source_type,sort_order,source_url,verification_status
mem_40840edc6a,Psychosocial treatments for youth at risk of psychosis,declared_area_title,3,https://profiles.ucalgary.ca/jean-margaret-addington,source_declared
mem_414b7b0e40,Theoretical Orientations,declared_area_title,0,https://profiles.ucalgary.ca/kelly-dean-schwartz,source_declared
mem_414b7b0e40,Scholarly Activity,declared_area_title,1,https://profiles.ucalgary.ca/kelly-dean-schwartz,source_declared
mem_414b7b0e40,Interests,declared_area_title,2,https://profiles.ucalgary.ca/kelly-dean-schwartz,source_declared
mem_418a89fdc0,KCa Channels,declared_area_list,0,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Nitric Oxide,declared_area_list,1,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Calcium,declared_area_list,2,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Myogenic Tone,declared_area_list,3,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Endothelium,declared_area_list,4,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Smooth Muscle,declared_area_list,5,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Vasodilation,declared_area_list,6,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_418a89fdc0,Type 2 Diabetes,declared_area_list,7,https://profiles.ucalgary.ca/andrew-braun,source_declared
mem_41979986b6,Substance and behavioural addictions,declared_area_list,0,https://profiles.ucalgary.ca/andrew-kim,source_declared
mem_41979986b6,"comorbidity of addiction and mental health (i.e., concurrent disorders)",declared_area_list,1,https://profiles.ucalgary.ca/andrew-kim,source_declared
mem_41979986b6,transdiagnostic treatments,declared_area_list,2,https://profiles.ucalgary.ca/andrew-kim,source_declared
mem_41979986b6,sports betting,declared_area_list,3,https://profiles.ucalgary.ca/andrew-kim,source_declared
mem_4393bff7a6,"Health, Exercise and Sport Psychology",declared_area_title,0,https://profiles.ucalgary.ca/meghan-mcdonough,source_declared
mem_4435cc366f,Dementia or Cognitive Disorders,declared_area_list,0,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Parkinson's Disease,declared_area_list,1,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Geriatric Medicine Across Care Continuum,declared_area_list,2,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Long Term Care Evidence Based Practice,declared_area_list,3,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Emergency Care or Acute Care Issues for Older Adults,declared_area_list,4,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Mood Disorders,declared_area_list,5,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Systematic Review and Meta-Analysis,declared_area_list,6,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4435cc366f,Guidelines,declared_area_list,7,https://profiles.ucalgary.ca/zahra-goodarzi,source_declared
mem_4517ebed1e,Brain Tumours,declared_area_detail,0,https://profiles.ucalgary.ca/garnette-roy-sutherland,source_declared
mem_4517ebed1e,Skull Base,declared_area_detail,1,https://profiles.ucalgary.ca/garnette-roy-sutherland,source_declared
mem_4517ebed1e,Robotics-technology,declared_area_detail,2,https://profiles.ucalgary.ca/garnette-roy-sutherland,source_declared
mem_4517ebed1e,Cerebrovascular disease,declared_area_detail,3,https://profiles.ucalgary.ca/garnette-roy-sutherland,source_declared
mem_4598061484,"Electromyography, Peripheral Nervous System disorders and Ultrasound Imaging Techniques",declared_area_title,0,https://profiles.ucalgary.ca/serge-mrkobrada,source_declared
mem_473d2f19dd,Epilepsy & other neuro conditions,declared_area_title,0,https://profiles.ucalgary.ca/nathalie-jette,source_declared
mem_4bb4b4c5df,Child and adolescent development,declared_area_list,0,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4bb4b4c5df,women's health,declared_area_list,1,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4bb4b4c5df,life course epidemiology,declared_area_list,2,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4bb4b4c5df,mental health,declared_area_list,3,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4bb4b4c5df,well-being,declared_area_list,4,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4bb4b4c5df,flourishing,declared_area_list,5,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4bb4b4c5df,resilience,declared_area_list,6,https://profiles.ucalgary.ca/zahra-clayborne,source_declared
mem_4d14f5ed5f,Movement Disorders,declared_area_title,0,https://profiles.ucalgary.ca/angela-haffenden,source_declared
mem_4ee060e99b,Neuro-Oncology,declared_area_detail,0,https://profiles.ucalgary.ca/gloria-roldan-urgoiti,source_declared
mem_4ee060e99b,Breast Cancer,declared_area_detail,1,https://profiles.ucalgary.ca/gloria-roldan-urgoiti,source_declared
mem_4f4215a32e,Digital Health,declared_area_list,0,https://profiles.ucalgary.ca/sayeh-bayat,source_declared
mem_4f4215a32e,AI in Medicine,declared_area_list,1,https://profiles.ucalgary.ca/sayeh-bayat,source_declared
mem_4f4215a32e,Digital Biomarkers,declared_area_list,2,https://profiles.ucalgary.ca/sayeh-bayat,source_declared
mem_4f4215a32e,Human-centred Machine Learning,declared_area_list,3,https://profiles.ucalgary.ca/sayeh-bayat,source_declared
mem_4f4215a32e,Smart Mobility,declared_area_list,4,https://profiles.ucalgary.ca/sayeh-bayat,source_declared
mem_4f4215a32e,Healthy Aging,declared_area_list,5,https://profiles.ucalgary.ca/sayeh-bayat,source_declared
mem_4fc16fbe9a,"Mental health, Health Systems",declared_area_list,0,https://profiles.ucalgary.ca/danijela-piskulic,source_declared
mem_4fcca18975,Brain,declared_area_title,0,https://profiles.ucalgary.ca/frank-macmaster,source_declared
mem_4fcca18975,Brain Stimulation,declared_area_title,1,https://profiles.ucalgary.ca/frank-macmaster,source_declared
mem_4fcca18975,Mental Illness,declared_area_title,2,https://profiles.ucalgary.ca/frank-macmaster,source_declared
mem_4fcca18975,Neurodevelopmental disorders,declared_area_title,3,https://profiles.ucalgary.ca/frank-macmaster,source_declared
mem_4fcca18975,Neuroimaging,declared_area_title,4,https://profiles.ucalgary.ca/frank-macmaster,source_declared
mem_50e629396d,Suicide,declared_area_title,0,https://profiles.ucalgary.ca/eric-chan,source_declared
mem_50e629396d,Psychiatric Rating Scales,declared_area_title,1,https://profiles.ucalgary.ca/eric-chan,source_declared
mem_50e629396d,e-Mental Health,declared_area_title,2,https://profiles.ucalgary.ca/eric-chan,source_declared
mem_50e629396d,Bipolar Disorder,declared_area_title,3,https://profiles.ucalgary.ca/eric-chan,source_declared
mem_50e629396d,Depression,declared_area_title,4,https://profiles.ucalgary.ca/eric-chan,source_declared
mem_50e629396d,Emergency Psychiatry,declared_area_title,5,https://profiles.ucalgary.ca/eric-chan,source_declared
mem_514df516d2,Signal transduction,declared_area_detail,0,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_514df516d2,Oncology,declared_area_detail,1,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_514df516d2,Disease Models,declared_area_detail,2,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_514df516d2,Therapeutics,declared_area_detail,3,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_514df516d2,Developmental Biology,declared_area_detail,4,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_514df516d2,Genetics,declared_area_detail,5,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_514df516d2,Precision Medicine,declared_area_detail,6,https://profiles.ucalgary.ca/h-artee-luchman,source_declared
mem_529c362d70,Pharmacogenomics,declared_area_list,0,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_529c362d70,Precision Pharmacotherapy,declared_area_list,1,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_529c362d70,Adverse Drug Reactions,declared_area_list,2,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_529c362d70,Translational Pharmacotherapy,declared_area_list,3,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_529c362d70,Population Therapeutics and Health Outcomes,declared_area_list,4,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_529c362d70,Pharmacovigilance,declared_area_list,5,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_529c362d70,Scholarship of Teaching and Learning,declared_area_list,6,https://profiles.ucalgary.ca/abdullah-al-maruf,source_declared
mem_5357e9a762,Pain management,declared_area_list,0,https://profiles.ucalgary.ca/eloise-carr,source_declared
mem_5357e9a762,Interprofessional education,declared_area_list,1,https://profiles.ucalgary.ca/eloise-carr,source_declared
mem_5357e9a762,Mixed methods research,declared_area_list,2,https://profiles.ucalgary.ca/eloise-carr,source_declared
mem_5357e9a762,Knowledge Translation,declared_area_list,3,https://profiles.ucalgary.ca/eloise-carr,source_declared
mem_53686b30d5,Brain Stimulation,declared_area_title,0,https://profiles.ucalgary.ca/pierre-levan,source_declared
mem_53686b30d5,Epilepsy,declared_area_title,1,https://profiles.ucalgary.ca/pierre-levan,source_declared
mem_53686b30d5,Magnetic Resonance Imaging,declared_area_title,2,https://profiles.ucalgary.ca/pierre-levan,source_declared
mem_53686b30d5,Neuroimaging,declared_area_title,3,https://profiles.ucalgary.ca/pierre-levan,source_declared
mem_53686b30d5,Stroke,declared_area_title,4,https://profiles.ucalgary.ca/pierre-levan,source_declared
mem_53c25f2cf7,Multiple Sclerosis,declared_area_list,0,https://profiles.ucalgary.ca/fiona-costello,source_declared
mem_53c25f2cf7,Ophthalmology,declared_area_list,1,https://profiles.ucalgary.ca/fiona-costello,source_declared
mem_53c25f2cf7,Visual pathways,declared_area_list,2,https://profiles.ucalgary.ca/fiona-costello,source_declared
mem_53c25f2cf7,Central nervous system,declared_area_list,3,https://profiles.ucalgary.ca/fiona-costello,source_declared
mem_53c25f2cf7,MS,declared_area_list,4,https://profiles.ucalgary.ca/fiona-costello,source_declared
mem_53c25f2cf7,Tumors,declared_area_list,5,https://profiles.ucalgary.ca/fiona-costello,source_declared
mem_53d8f553c6,Improving the diagnosis of occult malignancy in cryptogenic ischemic stroke patients,declared_area_detail,0,https://profiles.ucalgary.ca/ronda-lun,source_declared
mem_53d8f553c6,Optimizing treatment strategies of ischemic stroke in cancer patients,declared_area_detail,1,https://profiles.ucalgary.ca/ronda-lun,source_declared
mem_53d8f553c6,Prevention strategies for stroke in cancer patients,declared_area_detail,2,https://profiles.ucalgary.ca/ronda-lun,source_declared
mem_53e60fab63,Multiple Sclerosis,declared_area_list,0,https://profiles.ucalgary.ca/katayoun-alikhani,source_declared
mem_544d7ede34,Neuroscience - Motor Control,declared_area_title,0,https://profiles.ucalgary.ca/ryan-peters,source_declared
mem_57d1619bfe,Neurodevelopment,declared_area_title,0,https://profiles.ucalgary.ca/nicole-racine-0,source_declared
mem_581f118e90,Biomedical Engineering,declared_area_title,0,https://profiles.ucalgary.ca/mariana-pinheiro-bento,source_declared
mem_581f118e90,Artificial Intelligence,declared_area_title,1,https://profiles.ucalgary.ca/mariana-pinheiro-bento,source_declared
mem_581f118e90,Computer Vision,declared_area_title,2,https://profiles.ucalgary.ca/mariana-pinheiro-bento,source_declared
mem_581f118e90,Brain Magnetic Resonance Imaging,declared_area_title,3,https://profiles.ucalgary.ca/mariana-pinheiro-bento,source_declared
mem_58625c2ce5,Epilepsy,declared_area_title,0,https://profiles.ucalgary.ca/julia-jacobs-levan,source_declared
mem_58625c2ce5,Seizures,declared_area_title,1,https://profiles.ucalgary.ca/julia-jacobs-levan,source_declared
mem_58625c2ce5,Neuroimaging,declared_area_title,2,https://profiles.ucalgary.ca/julia-jacobs-levan,source_declared
mem_58625c2ce5,Neurodevelopment,declared_area_title,3,https://profiles.ucalgary.ca/julia-jacobs-levan,source_declared
mem_58625c2ce5,Sleep,declared_area_title,4,https://profiles.ucalgary.ca/julia-jacobs-levan,source_declared
mem_599092b85f,Neuroscience and Rehabilitation,declared_area_title,0,https://profiles.ucalgary.ca/kelly-larkin-kaiser,source_declared
mem_5df4c5aac6,Neuroendocrine tumours (Gastroenteropancreatic),declared_area_detail,0,https://profiles.ucalgary.ca/kirstie-lithgow,source_declared
mem_5f0bb4bf6e,"Cardiovascular disease, Diabetes, Obesity, Clinical Trial, fMRI, Bipolar diseases, Depression, Microbiome",declared_area_title,0,https://profiles.ucalgary.ca/valerie-taylor,source_declared
