member_id,profile_name,source_url,visible_source_label,normalized_label,source_type,visibility_policy,is_public,sort_order,canonical_mesh_ids,canonical_mesh_concepts,hbi_umbrella_ids,hbi_umbrella_tags,taxonomy_status,taxonomy_notes,built_at_utc
mem_98307ce526,Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,Scholarly Activity,scholarly activity,declared_area_title,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_98307ce526,Gabrielle Wilcox,https://profiles.ucalgary.ca/gabrielle-wilcox,Interests,interests,declared_area_title,always_visible_source_declared,true,2,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_4517ebed1e,Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,Brain Tumours,brain tumours,declared_area_detail,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_4517ebed1e,Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,Skull Base,skull base,declared_area_detail,always_visible_source_declared,true,1,D019291,Skull Base,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_4517ebed1e,Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,Robotics-technology,robotics technology,declared_area_detail,always_visible_source_declared,true,2,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_4517ebed1e,Garnette Roy Sutherland,https://profiles.ucalgary.ca/garnette-roy-sutherland,Cerebrovascular disease,cerebrovascular disease,declared_area_detail,always_visible_source_declared,true,3,D002561,Cerebrovascular Disorders,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Dementia & Cognitive Disorders,dementia cognitive disorders,declared_area_title,always_visible_source_declared,true,0,D003704,Dementia,HBI-MED-002,Neurological Disorders,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Epilepsy,epilepsy,declared_area_title,always_visible_source_declared,true,1,D004827,Epilepsy,HBI-MED-002,Neurological Disorders,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Mental Health,mental health,declared_area_title,always_visible_source_declared,true,2,D008603,Mental Health,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Movement Disorders,movement disorders,declared_area_title,always_visible_source_declared,true,3,D009069,Movement Disorders,HBI-MED-002,Neurological Disorders,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Multiple Sclerosis,multiple sclerosis,declared_area_title,always_visible_source_declared,true,4,D009103,Multiple Sclerosis,HBI-MED-002,Neurological Disorders,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Magnetic Resonance Imaging,magnetic resonance imaging,declared_area_title,always_visible_source_declared,true,5,D008279,Magnetic Resonance Imaging,HBI-MED-005,Imaging and Diagnostics,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,MRI,mri,declared_area_title,always_visible_source_declared,true,6,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_3ed07ce6c8,G. Bruce Pike,https://profiles.ucalgary.ca/g-bruce-pike,Cerebral Blood Flow,cerebral blood flow,declared_area_title,always_visible_source_declared,true,7,D002560,Cerebrovascular Circulation,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_bb45f29b7a,Geoffrey Messier,https://profiles.ucalgary.ca/geoffrey-messier,"Data Science for Mental Health, Addiction and Homelessness",data science for mental health addiction and homelessness,declared_area_title,always_visible_source_declared,true,0,D008603,Mental Health,HBI-MED-001,Mental Health,accepted,delimited profile term; embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule | delimited profile term; no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_0be3586361,Gerald Giesbrecht,https://profiles.ucalgary.ca/gerald-giesbrecht,Neurodevelopment,neurodevelopment,declared_area_title,always_visible_source_declared,true,0,D000099203,Neurodevelopment,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_0be3586361,Gerald Giesbrecht,https://profiles.ucalgary.ca/gerald-giesbrecht,Nutrition,nutrition,declared_area_title,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_0be3586361,Gerald Giesbrecht,https://profiles.ucalgary.ca/gerald-giesbrecht,Pregnancy,pregnancy,declared_area_title,always_visible_source_declared,true,2,D011247,Pregnancy,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_0be3586361,Gerald Giesbrecht,https://profiles.ucalgary.ca/gerald-giesbrecht,Psychosocial outcomes,psychosocial outcomes,declared_area_title,always_visible_source_declared,true,3,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_0be3586361,Gerald Giesbrecht,https://profiles.ucalgary.ca/gerald-giesbrecht,Resiliency,resiliency,declared_area_title,always_visible_source_declared,true,4,D055500,"Resilience, Psychological",,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_0be3586361,Gerald Giesbrecht,https://profiles.ucalgary.ca/gerald-giesbrecht,Microbiota-gut-brain axis,microbiota gut brain axis,declared_area_title,always_visible_source_declared,true,5,D000087502,Brain-Gut Axis,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_a5c016ebe3,Gerald Pfeffer,https://profiles.ucalgary.ca/gerald-pfeffer,Genetic Disorders,genetic disorders,declared_area_title,always_visible_source_declared,true,0,D030342,"Genetic Diseases, Inborn",,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_a5c016ebe3,Gerald Pfeffer,https://profiles.ucalgary.ca/gerald-pfeffer,Mitochondria,mitochondria,declared_area_title,always_visible_source_declared,true,1,D008928,Mitochondria,HBI-MED-010,Cellular and Molecular Neuroscience,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_a5c016ebe3,Gerald Pfeffer,https://profiles.ucalgary.ca/gerald-pfeffer,Neuromuscular function and disease,neuromuscular function and disease,declared_area_title,always_visible_source_declared,true,2,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_3cc315d4d3,Gerald Zamponi,https://profiles.ucalgary.ca/gerald-zamponi,Brain,brain,declared_area_title,always_visible_source_declared,true,0,D001921,Brain,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_3cc315d4d3,Gerald Zamponi,https://profiles.ucalgary.ca/gerald-zamponi,Molecular Mechanisms,molecular mechanisms,declared_area_title,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_3cc315d4d3,Gerald Zamponi,https://profiles.ucalgary.ca/gerald-zamponi,Pain,pain,declared_area_title,always_visible_source_declared,true,2,D010146,Pain,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_c4a9f6ea6f,Giuseppe Iaria,https://profiles.ucalgary.ca/giuseppe-iaria,Brain and Cognition,brain and cognition,declared_area_title,always_visible_source_declared,true,0,D003071,Cognition,HBI-MED-011,Cognitive and Behavioural Neuroscience,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_c4a9f6ea6f,Giuseppe Iaria,https://profiles.ucalgary.ca/giuseppe-iaria,Neuroimaging,neuroimaging,declared_area_title,always_visible_source_declared,true,1,D059906,Neuroimaging,HBI-MED-005,Imaging and Diagnostics,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_c4a9f6ea6f,Giuseppe Iaria,https://profiles.ucalgary.ca/giuseppe-iaria,Space Health,space health,declared_area_title,always_visible_source_declared,true,2,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_4ee060e99b,Gloria Roldan Urgoiti,https://profiles.ucalgary.ca/gloria-roldan-urgoiti,Neuro-Oncology,neuro oncology,declared_area_detail,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_4ee060e99b,Gloria Roldan Urgoiti,https://profiles.ucalgary.ca/gloria-roldan-urgoiti,Breast Cancer,breast cancer,declared_area_detail,always_visible_source_declared,true,1,D001943,Breast Neoplasms,HBI-MED-004,Cancer and Tumours,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_ccd6df0b53,Gordon Campbell Teskey,https://profiles.ucalgary.ca/gordon-campbell-teskey,NSERC-funded Activities,nserc funded activities,declared_area_title,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_ccd6df0b53,Gordon Campbell Teskey,https://profiles.ucalgary.ca/gordon-campbell-teskey,CIHR Activities,cihr activities,declared_area_title,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_82005c4912,Grant Robert Gordon,https://profiles.ucalgary.ca/grant-robert-gordon,Neurovascular coupling,neurovascular coupling,declared_area_title,always_visible_source_declared,true,0,D000069336,Neurovascular Coupling,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_82005c4912,Grant Robert Gordon,https://profiles.ucalgary.ca/grant-robert-gordon,Stress,stress,declared_area_title,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_82005c4912,Grant Robert Gordon,https://profiles.ucalgary.ca/grant-robert-gordon,Alzheimer's disease,alzheimer disease,declared_area_title,always_visible_source_declared,true,2,D000544,Alzheimer Disease,HBI-MED-002,Neurological Disorders,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_8466f664c9,Guang Yang,https://profiles.ucalgary.ca/guang-yang-0,Brain development,brain development,declared_area_title,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_8466f664c9,Guang Yang,https://profiles.ucalgary.ca/guang-yang-0,Neurodevelopmental disorder,neurodevelopmental disorder,declared_area_title,always_visible_source_declared,true,1,D065886,Neurodevelopmental Disorders,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_8466f664c9,Guang Yang,https://profiles.ucalgary.ca/guang-yang-0,Gene Regulation,gene regulation,declared_area_title,always_visible_source_declared,true,2,D005796,Genes,HBI-MED-009,Genetics and Genomics,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_8466f664c9,Guang Yang,https://profiles.ucalgary.ca/guang-yang-0,Neural stem cell,neural stem cell,declared_area_title,always_visible_source_declared,true,3,D058953,Neural Stem Cells,HBI-MED-010,Cellular and Molecular Neuroscience,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_8466f664c9,Guang Yang,https://profiles.ucalgary.ca/guang-yang-0,Neuronal function,neuronal function,declared_area_title,always_visible_source_declared,true,4,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_8466f664c9,Guang Yang,https://profiles.ucalgary.ca/guang-yang-0,Rare disease,rare disease,declared_area_title,always_visible_source_declared,true,5,D035583,Rare Diseases,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_830cb17f4e,Guillaume Millet,https://profiles.ucalgary.ca/guillaume-millet,Neuromuscular function and disease,neuromuscular function and disease,declared_area_title,always_visible_source_declared,true,0,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_fc7a9521ff,Haixu Wang,https://profiles.ucalgary.ca/haixu-wang,Machine learning,machine learning,declared_area_list,always_visible_source_declared,true,0,D000069550,Machine Learning,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_fc7a9521ff,Haixu Wang,https://profiles.ucalgary.ca/haixu-wang,Funcitonal data analysis,funcitonal data analysis,declared_area_list,always_visible_source_declared,true,1,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_fc7a9521ff,Haixu Wang,https://profiles.ucalgary.ca/haixu-wang,Bayesian analysis,bayesian analysis,declared_area_list,always_visible_source_declared,true,2,D001499,Bayes Theorem,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_fc7a9521ff,Haixu Wang,https://profiles.ucalgary.ca/haixu-wang,Generative models,generative models,declared_area_list,always_visible_source_declared,true,3,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_fc7a9521ff,Haixu Wang,https://profiles.ucalgary.ca/haixu-wang,Longitudinal/Spatial/Spatial-temporal data,longitudinal spatial spatial temporal data,declared_area_list,always_visible_source_declared,true,4,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
mem_fc7a9521ff,Haixu Wang,https://profiles.ucalgary.ca/haixu-wang,Computational neuroscience,computational neuroscience,declared_area_list,always_visible_source_declared,true,5,,,,,unresolved,no exact preferred-label or entry-term match in local MeSH 2026,2026-07-31T20:56:20.541600+00:00
