member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_0f847603bd,Patrick Whelan,https://profiles.ucalgary.ca/patrick-whelan,mesh_concept,Parkinson Disease,parkinson disease,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Parkinson's Disease
mem_0f847603bd,Patrick Whelan,https://profiles.ucalgary.ca/patrick-whelan,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Parkinson's Disease
mem_11c6e6d0a9,Douglas William Zochodne,https://profiles.ucalgary.ca/douglas-william-zochodne,mesh_concept,Neurons,neurons,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,"peripheral nervous system, diabetic polyneuropathy and peripheral neuron regeneration"
mem_11c6e6d0a9,Douglas William Zochodne,https://profiles.ucalgary.ca/douglas-william-zochodne,mesh_concept,Peripheral Nervous System,peripheral nervous system,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,"peripheral nervous system, diabetic polyneuropathy and peripheral neuron regeneration"
mem_11c6e6d0a9,Douglas William Zochodne,https://profiles.ucalgary.ca/douglas-william-zochodne,hbi_umbrella,Cellular and Molecular Neuroscience,cellular and molecular neuroscience,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,"peripheral nervous system, diabetic polyneuropathy and peripheral neuron regeneration"
mem_126415dca2,Bradley Gordon Goodyear,https://profiles.ucalgary.ca/bradley-gordon-goodyear,mesh_concept,"Brain Injuries, Traumatic",brain injuries traumatic,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Traumatic Brain Injury
mem_126415dca2,Bradley Gordon Goodyear,https://profiles.ucalgary.ca/bradley-gordon-goodyear,mesh_concept,Epilepsy,epilepsy,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Epilepsy
mem_126415dca2,Bradley Gordon Goodyear,https://profiles.ucalgary.ca/bradley-gordon-goodyear,mesh_concept,Movement Disorders,movement disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Movement Disorders
mem_126415dca2,Bradley Gordon Goodyear,https://profiles.ucalgary.ca/bradley-gordon-goodyear,mesh_concept,Multiple Sclerosis,multiple sclerosis,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Multiple Sclerosis
mem_126415dca2,Bradley Gordon Goodyear,https://profiles.ucalgary.ca/bradley-gordon-goodyear,hbi_umbrella,Brain Injury and Neurotrauma,brain injury and neurotrauma,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Traumatic Brain Injury
mem_126415dca2,Bradley Gordon Goodyear,https://profiles.ucalgary.ca/bradley-gordon-goodyear,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,3,Epilepsy || Movement Disorders || Multiple Sclerosis
mem_12cfcd78b8,Chantel Debert,https://profiles.ucalgary.ca/chantel-debert,mesh_concept,Brain Injuries,brain injuries,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_12cfcd78b8,Chantel Debert,https://profiles.ucalgary.ca/chantel-debert,mesh_concept,Post-Concussion Syndrome,post concussion syndrome,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Post-concussion symptoms
