member_id,link_group,platform,label,identifier,url,relationship_type,source_url,verification_status,display_order
mem_84f207cee7,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Frayne%2C%20R%20NOT%20Frayne%2CRJ&sort=date,Publication index,https://profiles.ucalgary.ca/richard-frayne,source_declared,60
mem_84f207cee7,research_ecosystem,Research Institute,Hotchkiss Brain Institute website,,https://www.ucalgary.ca/hbi,Research institute,https://profiles.ucalgary.ca/richard-frayne,source_declared,100
mem_84f207cee7,research_ecosystem,Research Lab,Laboratory website,,https://www.ucalgary.ca/vil/,Research lab,https://profiles.ucalgary.ca/richard-frayne,source_declared,100
mem_84f207cee7,research_ecosystem,Research Centre,Seaman Family Centre website,,https://mrcentre.ca,Research centre,https://profiles.ucalgary.ca/richard-frayne,source_declared,100
mem_86be4543f1,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed?term=michael%20colicos,Publication index,https://profiles.ucalgary.ca/michael-adrian-colicos,source_declared,60
mem_8777c1db23,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.com/citations?user=DcoA2z8AAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/tanya-mudry,source_declared,20
mem_8777c1db23,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Tanya-Mudry,Scholarly profile,https://profiles.ucalgary.ca/tanya-mudry,source_declared,40
mem_88d32b9f14,research_ecosystem,Research Lab,lab site,,https://prescottlab.ca,Research lab,https://profiles.ucalgary.ca/steven-prescott,source_declared,100
mem_8b49df0680,research_ecosystem,Research Lab,Yong Lab,,https://live-cumming.ucalgary.ca/labs/reparative-neuroinflammation/home,Research lab,https://profiles.ucalgary.ca/voon-wee-yong,source_declared,100
mem_8bfbd806c9,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=amanda%20v%20tyndall&sort=date&ac=yes,Publication index,https://profiles.ucalgary.ca/amanda-tyndall,source_declared,60
mem_8e0084f520,research_profile,PubMed,PubMed Author Search,,https://pubmed.ncbi.nlm.nih.gov/?term=Chan%20JA%5BAuthor%5D%20AND%20Calgary%5BAffiliation%5D,Publication index,https://profiles.ucalgary.ca/jennifer-chan,source_declared,60
